frame,time,direction,hex,raw_packet,packet
710,14.366502,D->H,41a882001000000320590800040000000000a50c,"Data { header: DataHeader { packet_type: 65, flag: false, id: 168, obj_count_words: 2 }, extended: ExtendedHeader { attribute: 16, next: false, chunk: 0, size: 12 }, payload: b"" Y\x08\0\x04\0\0\0\0\0\xa5\x0c"" }","PdRawData(b"" Y\x08\0\x04\0\0\0\0\0\xa5\x0c"")"
711,14.366912,D->H,,-,-
712,14.406096,H->D,0ca92200,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 169, attribute: 17 }, payload: b"""" }","Generic(Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 169, attribute: 17 }, payload: b"""" })"
713,14.406152,H->D,,-,-
714,14.406226,D->H,41a982030180000b830f00000a000000a40f0000120000000810000070000000540d0400797e1f03f900817e0080a40c4f0018001000000347590800030000000000a50c,"Data { header: DataHeader { packet_type: 65, flag: false, id: 169, obj_count_words: 14 }, extended: ExtendedHeader { attribute: 1, next: true, chunk: 0, size: 44 }, payload: b""\x83\x0f\0\0\n\0\0\0\xa4\x0f\0\0\x12\0\0\0\x08\x10\0\0p\0\0\0T\r\x04\0y~\x1f\x03\xf9\0\x81~\0\x80\xa4\x0cO\0\x18\0\x10\0\0\x03GY\x08\0\x03\0\0\0\0\0\xa5\x0c"" }",Err(Invalid packet: Failed to parse ADC data: incorrect size)
715,14.406747,D->H,,-,-
716,14.446121,H->D,0caa2000,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 170, attribute: 16 }, payload: b"""" }",CmdGetPdData
717,14.446197,H->D,,-,-
718,14.446210,D->H,41aa8200100000036f590800040000000000a30c,"Data { header: DataHeader { packet_type: 65, flag: false, id: 170, obj_count_words: 2 }, extended: ExtendedHeader { attribute: 16, next: false, chunk: 0, size: 12 }, payload: b""oY\x08\0\x04\0\0\0\0\0\xa3\x0c"" }","PdRawData(b""oY\x08\0\x04\0\0\0\0\0\xa3\x0c"")"
719,14.446643,D->H,,-,-
720,14.486112,H->D,0cab2000,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 171, attribute: 16 }, payload: b"""" }",CmdGetPdData
721,14.486192,H->D,,-,-
722,14.486200,D->H,41ab82001000000397590800040000000000a50c,"Data { header: DataHeader { packet_type: 65, flag: false, id: 171, obj_count_words: 2 }, extended: ExtendedHeader { attribute: 16, next: false, chunk: 0, size: 12 }, payload: b""\x97Y\x08\0\x04\0\0\0\0\0\xa5\x0c"" }","PdRawData(b""\x97Y\x08\0\x04\0\0\0\0\0\xa5\x0c"")"
723,14.486700,D->H,,-,-
724,14.526142,H->D,0cac2000,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 172, attribute: 16 }, payload: b"""" }",CmdGetPdData
725,14.526185,H->D,,-,-
726,14.526219,D->H,41ac820010000003bf590800030000000000a30c,"Data { header: DataHeader { packet_type: 65, flag: false, id: 172, obj_count_words: 2 }, extended: ExtendedHeader { attribute: 16, next: false, chunk: 0, size: 12 }, payload: b""\xbfY\x08\0\x03\0\0\0\0\0\xa3\x0c"" }","PdRawData(b""\xbfY\x08\0\x03\0\0\0\0\0\xa3\x0c"")"
727,14.526487,D->H,,-,-
728,14.566319,H->D,0cad2000,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 173, attribute: 16 }, payload: b"""" }",CmdGetPdData
729,14.566354,H->D,,-,-
730,14.566387,D->H,41ad820010000003e7590800020000000000a50c,"Data { header: DataHeader { packet_type: 65, flag: false, id: 173, obj_count_words: 2 }, extended: ExtendedHeader { attribute: 16, next: false, chunk: 0, size: 12 }, payload: b""\xe7Y\x08\0\x02\0\0\0\0\0\xa5\x0c"" }","PdRawData(b""\xe7Y\x08\0\x02\0\0\0\0\0\xa5\x0c"")"
731,14.566647,D->H,,-,-
732,14.606157,H->D,0cae2000,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 174, attribute: 16 }, payload: b"""" }",CmdGetPdData
733,14.606203,H->D,,-,-
734,14.606236,D->H,41ae8200100000030f5a0800040000000000a30c,"Data { header: DataHeader { packet_type: 65, flag: false, id: 174, obj_count_words: 2 }, extended: ExtendedHeader { attribute: 16, next: false, chunk: 0, size: 12 }, payload: b""\x0fZ\x08\0\x04\0\0\0\0\0\xa3\x0c"" }","PdRawData(b""\x0fZ\x08\0\x04\0\0\0\0\0\xa3\x0c"")"
735,14.606630,D->H,,-,-
736,14.616030,H->D,0caf0200,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 175, attribute: 1 }, payload: b"""" }",CmdGetSimpleAdcData
737,14.616076,H->D,,-,-
738,14.616131,D->H,41af82020100000b4f0f000006000000a40f0000120000000810000070000000540d0400797e1f03f900817e0080a40c4f001800,"Data { header: DataHeader { packet_type: 65, flag: false, id: 175, obj_count_words: 10 }, extended: ExtendedHeader { attribute: 1, next: false, chunk: 0, size: 44 }, payload: b""O\x0f\0\0\x06\0\0\0\xa4\x0f\0\0\x12\0\0\0\x08\x10\0\0p\0\0\0T\r\x04\0y~\x1f\x03\xf9\0\x81~\0\x80\xa4\x0cO\0\x18\0"" }","SimpleAdcData(AdcDataSimple { vbus_v: 0.003919, ibus_a: 6e-6, power_w: 2.3513999999999998e-8, vbus_avg_v: 0.004004, ibus_avg_a: 1.8e-5, temp_c: 26.0, vdp_v: 0.0799, vdm_v: 0.0249, vdp_avg_v: 0.0079, vdm_avg_v: 0.0024, cc1_v: 0.0004, cc2_v: 3.2377, cc2_avg_v: 0.3236, internal_vdd_v: 3.2385, sample_rate: Sps1 })"
739,14.616436,D->H,,-,-
740,14.646044,H->D,0cb02000,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 176, attribute: 16 }, payload: b"""" }",CmdGetPdData
741,14.646088,H->D,,-,-
742,14.646121,D->H,41b0820010000003375a0800020000000000a50c,"Data { header: DataHeader { packet_type: 65, flag: false, id: 176, obj_count_words: 2 }, extended: ExtendedHeader { attribute: 16, next: false, chunk: 0, size: 12 }, payload: b""7Z\x08\0\x02\0\0\0\0\0\xa5\x0c"" }","PdRawData(b""7Z\x08\0\x02\0\0\0\0\0\xa5\x0c"")"
743,14.646492,D->H,,-,-
744,14.686187,H->D,0cb12000,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 177, attribute: 16 }, payload: b"""" }",CmdGetPdData
745,14.686242,H->D,,-,-
746,14.686266,D->H,41b18200100000035f5a0800040000000000a50c,"Data { header: DataHeader { packet_type: 65, flag: false, id: 177, obj_count_words: 2 }, extended: ExtendedHeader { attribute: 16, next: false, chunk: 0, size: 12 }, payload: b""_Z\x08\0\x04\0\0\0\0\0\xa5\x0c"" }","PdRawData(b""_Z\x08\0\x04\0\0\0\0\0\xa5\x0c"")"
747,14.686599,D->H,,-,-
748,14.726365,H->D,0cb22000,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 178, attribute: 16 }, payload: b"""" }",CmdGetPdData
749,14.726411,H->D,,-,-
750,14.726451,D->H,41b2820010000003885a0800040000000000a50c,"Data { header: DataHeader { packet_type: 65, flag: false, id: 178, obj_count_words: 2 }, extended: ExtendedHeader { attribute: 16, next: false, chunk: 0, size: 12 }, payload: b""\x88Z\x08\0\x04\0\0\0\0\0\xa5\x0c"" }","PdRawData(b""\x88Z\x08\0\x04\0\0\0\0\0\xa5\x0c"")"
751,14.726722,D->H,,-,-
752,14.757115,H->D,0cb32000,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 179, attribute: 16 }, payload: b"""" }",CmdGetPdData
753,14.757163,H->D,,-,-
754,14.757195,D->H,41b3820010000003a65a0800030000000000a30c,"Data { header: DataHeader { packet_type: 65, flag: false, id: 179, obj_count_words: 2 }, extended: ExtendedHeader { attribute: 16, next: false, chunk: 0, size: 12 }, payload: b""\xa6Z\x08\0\x03\0\0\0\0\0\xa3\x0c"" }","PdRawData(b""\xa6Z\x08\0\x03\0\0\0\0\0\xa3\x0c"")"
755,14.757493,D->H,,-,-
756,14.796154,H->D,0cb42000,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 180, attribute: 16 }, payload: b"""" }",CmdGetPdData
757,14.796203,H->D,,-,-
758,14.796225,D->H,41b4820010000003cd5a0800040000000000a50c,"Data { header: DataHeader { packet_type: 65, flag: false, id: 180, obj_count_words: 2 }, extended: ExtendedHeader { attribute: 16, next: false, chunk: 0, size: 12 }, payload: b""\xcdZ\x08\0\x04\0\0\0\0\0\xa5\x0c"" }","PdRawData(b""\xcdZ\x08\0\x04\0\0\0\0\0\xa5\x0c"")"
759,14.796524,D->H,,-,-
